KGP_sample_id	karyotype	superpopulation	population	unrelated
HG00450	XX	EAS	CHS	false
HG00451	XY	EAS	CHS	true
HG00452	XX	EAS	CHS	true
HG00453	XX	EAS	CHS	false
HG00457	XY	EAS	CHS	true
HG00458	XX	EAS	CHS	true
HG00459	XY	EAS	CHS	false
HG00463	XY	EAS	CHS	true
HG00464	XX	EAS	CHS	true
HG00465	XY	EAS	CHS	false
HG00472	XY	EAS	CHS	true
HG00473	XX	EAS	CHS	true
HG00474	XY	EAS	CHS	false
HG00475	XY	EAS	CHS	true
HG00476	XX	EAS	CHS	true
HG00477	XY	EAS	CHS	false
HG00478	XY	EAS	CHS	true
HG00479	XX	EAS	CHS	true
HG00480	XY	EAS	CHS	false
HG00500	XY	EAS	CHS	true
HG00501	XX	EAS	CHS	false
HG00502	XY	EAS	CHS	false
HG00512	XY	EAS	CHS	false
HG00513	XX	EAS	CHS	true
HG00514	XX	EAS	CHS	false
HG00524	XY	EAS	CHS	true
HG00525	XX	EAS	CHS	true
HG00526	XY	EAS	CHS	false
HG00530	XY	EAS	CHS	true
HG00531	XX	EAS	CHS	true
HG00532	XY	EAS	CHS	false
HG00533	XY	EAS	CHS	true
HG00534	XX	EAS	CHS	true
HG00535	XY	EAS	CHS	false
HG00536	XY	EAS	CHS	true
HG00537	XX	EAS	CHS	true
HG00538	XY	EAS	CHS	false
HG00542	XY	EAS	CHS	true
HG00543	XX	EAS	CHS	true
HG00544	XX	EAS	CHS	false
HG00551	XX	AMR	PUR	true
HG00552	XY	AMR	PUR	false
HG00553	XY	AMR	PUR	true
HG00554	XX	AMR	PUR	true
HG00555	XX	AMR	PUR	false
HG00556	XY	EAS	CHS	true
HG00557	XX	EAS	CHS	true
HG00558	XX	EAS	CHS	false
HG00559	XY	EAS	CHS	true
HG00560	XX	EAS	CHS	true
HG00561	XX	EAS	CHS	false
HG00565	XY	EAS	CHS	true
HG00566	XX	EAS	CHS	true
HG00567	XY	EAS	CHS	false
HG00577	XY	EAS	CHS	false
HG00578	XX	EAS	CHS	false
HG00579	XX	EAS	CHS	false
HG00580	XY	EAS	CHS	true
HG00581	XX	EAS	CHS	true
HG00582	XX	EAS	CHS	false
HG00583	XY	EAS	CHS	true
HG00584	XX	EAS	CHS	true
HG00585	XX	EAS	CHS	false
HG00589	XY	EAS	CHS	true
HG00590	XX	EAS	CHS	true
HG00591	XY	EAS	CHS	false
HG00592	XY	EAS	CHS	true
HG00593	XX	EAS	CHS	true
HG00594	XY	EAS	CHS	false
HG00595	XY	EAS	CHS	true
HG00596	XX	EAS	CHS	true
HG00597	XX	EAS	CHS	false
HG00598	XY	EAS	CHS	true
HG00599	XX	EAS	CHS	true
HG00607	XY	EAS	CHS	true
HG00608	XX	EAS	CHS	true
HG00609	XY	EAS	CHS	false
HG00610	XY	EAS	CHS	true
HG00611	XX	EAS	CHS	true
HG00612	XX	EAS	CHS	false
HG00613	XY	EAS	CHS	true
HG00614	XX	EAS	CHS	true
HG00615	XX	EAS	CHS	false
HG00619	XY	EAS	CHS	true
HG00620	XX	EAS	CHS	true
HG00621	XY	EAS	CHS	false
HG00622	XY	EAS	CHS	true
